suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__008.smt2.slack,false,,true,true,16,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__009.smt2.slack,false,,true,true,16,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__010.smt2.slack,false,,true,true,21,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__011.smt2.slack,false,,true,true,26,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__012.smt2.slack,false,,false,true,24,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__013.smt2.slack,false,,true,true,33,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__014.smt2.slack,false,,true,true,21,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__015.smt2.slack,false,,true,true,18,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__016.smt2.slack,false,,false,true,23,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__017.smt2.slack,false,,true,true,14,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__018.smt2.slack,false,,true,true,29,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__019.smt2.slack,false,,false,true,34,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__020.smt2.slack,false,,true,true,54,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__021.smt2.slack,false,,false,true,38,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__022.smt2.slack,false,,true,true,51,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__023.smt2.slack,false,,true,true,34,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__024.smt2.slack,false,,false,true,36,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__025.smt2.slack,false,,false,true,32,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__026.smt2.slack,false,,false,true,40,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__027.smt2.slack,false,,false,true,45,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__028.smt2.slack,false,,false,true,31,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__029.smt2.slack,false,,false,true,32,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__030.smt2.slack,false,,false,true,30,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__031.smt2.slack,false,,false,true,32,10000,smtlib,arithmetic,0,0,false
