suite,problem,maximize,objective,feasible,proven,elapsedMs,solver,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
hakank,assignment/assignment2_2,false,,true,true,5,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,assignment/assignment3,true,30.0,true,true,5,cp-sat,10000,minizinc,linear,0,3,false
hakank,assignment/assignment4,false,,true,false,250,cp-sat,10000,minizinc,global,2,0,false
hakank,assignment/assignment5,false,8.0,true,true,8,cp-sat,10000,minizinc,linear,0,4,false
hakank,assignment/assignment6,false,76.0,true,true,15,cp-sat,10000,minizinc,linear,0,5,false
hakank,atleast_nvalue/atleast_nvalue,false,,true,false,168,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,atmost1_me/atmost1_me,false,,true,false,182,cp-sat,10000,minizinc,global,1,0,false
hakank,atmost_nvalue/atmost_nvalue,false,,true,false,155,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,atom_smasher/atom_smasher,false,,true,false,259,cp-sat,10000,minizinc,global,1,0,false
hakank,autoref/autoref,false,,true,false,343,cp-sat,10000,minizinc,global,2,1,false
hakank,averbach_1./averbach_1.2,false,,true,false,250,cp-sat,10000,minizinc,global,5,0,false
hakank,averbach_1./averbach_1.3,false,,true,false,275,cp-sat,10000,minizinc,global,2,0,false
hakank,averbach_1./averbach_1.4,false,,true,false,344,cp-sat,10000,minizinc,global,3,0,false
hakank,averbach_1./averbach_1.5,false,,true,false,205,cp-sat,10000,minizinc,global,2,4,false
hakank,babysitting/babysitting,false,,true,false,252,cp-sat,10000,minizinc,global,2,0,false
hakank,balance/balance,false,,true,false,247,cp-sat,10000,minizinc,global,4,0,false
hakank,balance_interval/balance_interval,false,,true,false,187,cp-sat,10000,minizinc,global,5,1,false
hakank,balance_modulo/balance_modulo,false,,true,false,292,cp-sat,10000,minizinc,global,3,1,false
hakank,balance_partition/balance_partition,false,,true,false,251,cp-sat,10000,minizinc,global,3,1,false
hakank,balanced_brackets/balanced_brackets,false,,true,false,182,cp-sat,10000,minizinc,global,3,1,false
hakank,balanced_matrix/balanced_matrix,false,,true,false,159,cp-sat,10000,minizinc,linear,0,2,false
hakank,bales_of_hay/bales_of_hay,false,,true,false,485,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,bank_card/bank_card,false,,true,false,191,cp-sat,10000,minizinc,global,1,0,false
hakank,barrels/barrels,false,,true,false,231,cp-sat,10000,minizinc,global,4,1,false
